distance,soundIntensity
0.050706,435.91
0.052369000000000006,427.47
0.050535000000000004,435.94
0.054927,412.56
0.056079,383.48
0.050706,428.11
0.052369000000000006,403.46
0.050535000000000004,428.13
0.056249,439.77
0.056079,416.1
0.05475700000000001,414.56
0.056421000000000006,385.98
0.054501,428.13
0.056249,439.77
0.05475700000000001,432.23
0.060301,365.41
0.057828,410.15
0.054501,475.7
0.060301,360.99
0.058979,424.65
0.057828,410.15
0.060386,442.68
0.06175,442.68
0.05851,465.28
0.058979,403.82
0.060301,360.99
0.061922000000000005,426.66
0.05851,447.69
0.06175,445.74
0.064523,380.2
0.058979,403.82
0.061922000000000005,419.83
0.065844,432.22
0.062262,438.3
0.064523,396.46
0.063201,392.1
0.063287,414.26
0.062262,438.3
0.065844,448.73
0.068702,370.96
0.064608,437.19
0.067338,409.82
0.062262,435.02
0.06998,448.73
0.068702,370.96
0.064608,431.16
0.067338,409.82
0.066186,423.83
0.06998,437.73
0.068702,390.44
0.068873,404.9
0.068745,404.72
0.06998,381.15
0.072839,385.73
0.066186,432.31
0.068873,402.68
0.07305199999999999,360.69
0.069938,446.45
0.074117,426.68
0.072839,403.87
0.073009,402.68
0.07305199999999999,388.97
0.069938,444.04
0.076976,404.79
0.07548200000000001,390.23
0.073009,407.92
0.074417,422.99
0.07121799999999999,441.92
0.076976,404.79
0.07548200000000001,431.45
0.074416,447.42
0.074417,422.99
0.07535399999999999,441.92
0.07948999999999999,431.45
0.07851,400.03
0.081198,370.99
0.078554,392.28
0.07535399999999999,412.34
0.07948999999999999,463.22
0.07851,430.74
0.081198,382.69
0.079961,392.73
0.07948999999999999,430.58
0.08252000000000001,411.88
0.07535399999999999,424.41
0.07851,430.74
0.079961,369.73
0.079278,424.61
0.07948999999999999,435.44
0.08252000000000001,411.88
0.082647,437.01
0.08413999999999999,400.81
0.08635599999999999,431.26
0.086741,365.97
0.08064199999999999,388.05
0.082647,424.42
0.085462,438.36
0.08064199999999999,388.05
0.086741,412.31
0.086826,406.23
0.08635599999999999,400.18
0.085462,385.08
0.090535,400.18
0.084651,432.56
0.090921,378.76
0.089641,385.08
0.086826,409.39
0.090535,426.73
0.090921,400.9
0.08819099999999999,440.75
0.084651,452.51
0.089641,381.97
0.088702,426.64
0.08819099999999999,440.75
0.090535,429.22
0.095185,400.9
0.091049,411.51
0.088702,431.12
0.095185,382.73
0.092412,379.91
0.094672,425.32
0.0951,368.89
0.088702,427.02
0.096593,426.31
0.092412,404.11
0.096036,446.68
0.0951,406.35
0.092711,427.02
0.096036,446.68
0.096593,397.86
0.09672,431.94
0.09650700000000001,406.35
0.094033,405.6
0.1009,373.11
0.10026,436.3
0.09672,433.05
0.09650700000000001,409.7
0.094033,435.24
0.10026,432.08
0.1009,366.68
0.10098,433.05
0.10077,368.91
0.097999,449.37
0.10512,366.68
0.10026,436.9
0.10098,420.53
0.10217999999999999,411.98
0.097999,466.91
0.10444,447.97
0.10098,389.95
0.10512,383.58
0.10217999999999999,396.71
0.10444,435.74
0.10201,466.91
0.10657,378.02
0.10529000000000001,402.0
0.1064,397.19
0.10201,390.06
0.10865999999999999,435.74
0.10529000000000001,420.26
0.11079000000000001,407.82
0.1064,397.19
0.10337,426.32
0.11002,444.94
0.10947,409.99
0.11079000000000001,380.8
0.11075,399.19
0.10337,410.5
0.11002,440.53
0.11224,397.72
0.10947,409.99
0.11075,402.92
0.10742,425.02
0.1142,416.67
0.11224,397.72
0.11374000000000001,393.36
0.11506,410.95
