distance,soundIntensity
14.8576492704,70.8680820308
14.8576492704,73.6356263061
14.8576492704,73.6356263061
14.8576492704,67.7627542774
14.8576492704,67.5931681989
14.8576492704,75.7377659189
14.8576492704,66.7881760812
14.853171438,70.0844081915
14.853171438,80.8855072191
14.853171438,65.5939398048
14.853171438,66.1630393927
14.853171438,73.0010562445
14.853171438,69.1226429172
14.848864188,69.1226429172
14.848864188,66.3318449959
14.848864188,74.0467818159
14.848864188,77.5245666619
14.848864188,80.6764914315
14.8444289995,71.1695495484
14.8444289995,74.5600437133
14.8444289995,82.9325718161
14.8444289995,63.8704850467
14.8444289995,67.8582642378
14.8444289995,68.9964248985
14.8444289995,77.8271839325
14.8400791031,61.5961999575
14.8400791031,79.5490069349
14.8400791031,67.9926277637
14.8400791031,70.5790536686
14.8400791031,76.136416157
14.8356865606,76.136416157
14.8356865606,60.2725986003
14.8356865606,68.6562645761
14.8356865606,71.2071186364
14.8341086576,70.5391658172
14.8341086576,75.1675272676
14.8341086576,70.807416778
14.8341086576,68.9886465038
14.8341086576,71.5180429069
14.8298440549,64.8926972055
14.8298440549,76.8911940625
14.8298440549,81.8801803608
14.8298440549,64.4387460689
14.8298440549,67.5861098132
14.8298440549,67.4476017059
14.8252382834,72.3472993043
14.8252382834,72.4938317844
14.8252382834,72.4938317844
14.8252382834,76.446726425
14.8252382834,66.337767638
14.8209310348,66.5613834122
14.8209310348,67.6382568957
14.8209310348,62.8907755499
14.8209310348,83.3597098192
14.8209310348,75.8893345506
14.8209310348,71.2046126863
14.8164105544,66.1135377129
14.8164105544,66.1135377129
14.8164105544,73.2113431206
14.8164105544,67.7720389792
14.8164105544,71.3250532341
14.8164105544,80.8099464647
14.8119753665,77.3820263974
14.8119753665,59.8888406995
14.8119753665,62.2041547073
14.8119753665,62.2041547073
14.8119753665,64.0166502765
14.8105680474,61.8846818207
14.8105680474,61.8846818207
14.8105680474,65.8405858203
14.8105680474,67.4238411448
14.8074975331,66.1682525506
14.8074975331,70.0261041445
14.8074975331,69.319120187
14.8029770525,75.5053828655
14.8029770525,75.5053828655
14.8029770525,73.4657568932
14.8029770525,73.4657568932
14.8029770525,72.8374086441
14.8015270872,65.1298742562
14.8015270872,67.5225619178
14.8015270872,64.3389669547
14.7984139263,69.6162581313
14.7984139263,69.6162581313
14.7984139263,74.7249271984
14.7984139263,70.0232461316
14.7938934459,80.5220158064
14.7938934459,64.6759936228
14.7938934459,76.0359913327
14.7938934459,68.4594400566
14.7938934459,67.7916691777
14.7938934459,79.4521081023
14.7892876736,79.4521081023
14.7892876736,63.8171705902
14.7892876736,64.6000190961
14.7892876736,74.9518049372
14.7877950622,74.9518049372
14.7877950622,79.1142019987
14.7877950622,72.9546894854
14.7877950622,72.9546894854
14.7834025201,74.9436757037
14.7834025201,79.8123434626
14.7834025201,72.022947828
14.7834025201,78.2724256937
14.7818246165,74.8286232302
14.7818246165,66.1552184492
14.7818246165,76.7291413238
14.7818246165,80.6669537869
14.7772188437,80.6669537869
14.7772188437,82.6587378651
14.7772188437,74.9874016928
14.7772188437,74.9874016928
14.7772188437,75.092210363
14.7772188437,84.166584434
14.772570425,70.9568478895
14.772570425,60.4281863788
14.772570425,73.7680974822
14.772570425,74.2498112969
14.772570425,68.0491717674
14.772570425,76.6510601101
14.7677940682,76.6510601101
14.7677940682,69.3264581275
14.7677940682,66.341382432
14.7677940682,69.9950822983
14.7663014568,75.7780051436
14.7663014568,71.6218331787
14.7663014568,69.0906983913
14.7663014568,78.9508900859
