distance,soundIntensity
2.9559468395,43.4044435256
2.9559468395,39.7771666356
2.954582189,58.2086707283
2.954582189,47.4949724414
2.954582189,50.9951251604
2.954582189,50.9951251604
2.9504029512,45.2082515994
2.9504029512,45.2082515994
2.9504029512,41.1458687711
2.9504029512,48.1136431059
2.9490383066,54.2901988325
2.9490383066,43.034141855
2.9490383066,50.1677386252
2.9490383066,48.9201656984
2.9449017233,41.6640228155
2.9449017233,49.2393465829
2.9449017233,46.5088230026
2.9449017233,41.3755370325
2.9449017233,39.0321823209
2.9449017233,39.0321823209
2.940893085,48.8400986807
2.940893085,40.7557472315
2.940893085,52.0183975896
2.940893085,53.7748964903
2.940893085,42.0590184085
2.940893085,47.3752762936
2.9369270919,51.0329813865
2.9369270919,44.9996533503
2.9369270919,38.4064912088
2.9369270919,50.0452776665
2.9356051025,44.0057801209
2.9356051025,51.5271645414
2.9356051025,51.1495790777
2.9356051025,41.973533037
2.9315965062,41.973533037
2.9315965062,38.1863709004
2.9315965062,41.6949377511
2.9301892352,41.6949377511
2.9301892352,41.6949377511
2.9301892352,41.6949377511
2.9301892352,43.7804944562
2.9301892352,46.7232260599
2.926010073,44.1866886727
2.926010073,50.3892865493
2.926010073,50.3892865493
2.926010073,51.9857044627
2.926010073,51.7990039617
2.926010073,51.7404990463
2.9217456554,51.7404990463
2.9217456554,45.7675452321
2.9217456554,45.7675452321
2.9217456554,56.0601215296
2.9217456554,56.0601215296
2.9217456554,40.0642829201
2.9174812526,44.2482586819
2.9174812526,44.2482586819
2.9174812526,46.9906242729
2.9174812526,49.6532846113
2.9160739998,52.6224683268
2.9160739998,40.0328730969
2.9160739998,43.509481877
2.9160739998,42.3130270619
2.9118095906,42.060833235
2.9118095906,47.5750176334
2.9118095906,61.4076871671
2.9118095906,42.2225347388
2.9104876284,42.2225347388
2.9104876284,56.5661240639
2.9104876284,56.6816094753
2.9104876284,42.8405129335
2.9063511884,65.877206573
2.9063511884,44.7369935788
2.9063511884,44.7369935788
2.9063511884,46.2426689663
2.9063511884,47.0381665321
2.9063511884,53.7525764404
2.9020868586,49.3367817252
2.9020868586,49.5053461549
2.9020868586,54.1850767752
2.9020868586,51.1162027726
2.90067963,41.3817653386
2.90067963,51.8689776737
2.90067963,51.8689776737
2.90067963,44.8360301298
2.8964153013,44.8360301298
2.8964153013,50.8799784091
2.8964153013,48.8506027563
2.8964153013,46.3740504206
2.895008073,46.3740504206
2.895008073,43.5963633742
2.895008073,43.5963633742
2.895008073,44.5155639854
2.8907010769,54.0541362169
2.8907010769,44.2968382453
2.8907010769,44.3842898578
2.8907010769,48.2219145707
2.8892938231,51.0611506927
2.8892938231,40.0029791631
2.8892938231,47.9807681363
2.8892938231,49.8378744327
2.8849867667,49.8378744327
2.8849867667,49.5240835043
2.8849867667,46.7121304059
2.8849867667,40.2037539088
2.8835368691,50.488355255
2.8835368691,54.3591430253
2.8835368691,43.1958960161
2.8835368691,41.9863562622
2.8791018886,49.2628944062
2.8791018886,43.2865198868
2.8791018886,45.4044498044
2.8791018886,50.0842546564
2.8777372914,45.3812034564
2.8777372914,44.4179295431
2.8777372914,51.5830065131
2.8777372914,45.5316686927
2.8733023429,46.4337513603
2.8733023429,52.538270407
2.8733023429,43.1833337005
2.8733023429,43.8668339611
2.8718524561,54.3128655448
2.8718524561,42.0710781175
2.8718524561,49.8797001814
2.8718524561,50.5161442738
2.867502804,42.3268731033
2.867502804,52.0386733551
2.867502804,52.7344414673
2.867502804,44.4581488548
2.867502804,43.2355556713
2.867502804,52.3118531158
2.8631957963,44.3578169757
